time,probability
19.648000,0.000000
19.669333,0.000000
19.690667,0.000000
19.712000,0.000000
19.733333,0.003866
19.754667,0.646905
19.776000,0.000000
19.797333,0.000000
19.818667,0.000000
19.840000,0.000000
19.861333,0.000000
19.882667,0.000000
19.904000,0.000000
19.925333,0.000000
19.946667,0.000000
19.968000,0.000000
19.989333,0.102740
20.010667,0.102740
20.032000,0.000000
20.053333,0.000000
20.074667,0.000000
20.096000,0.000000
20.117333,0.000000
20.138667,0.000000
20.160000,0.000000
20.181333,0.000000
20.202667,0.000000
20.224000,0.000001
20.245333,0.646905
20.266667,0.003866
20.288000,0.000000
20.309333,0.000000
20.330667,0.000000
20.352000,0.000000
20.373333,0.000000
20.394667,0.000000
20.416000,0.000000
20.437333,0.000000
20.458667,0.000000
20.480000,0.000335
20.501333,0.965069
20.522667,0.000000
20.544000,0.000000
20.565333,0.000000
20.586667,0.000000
20.608000,0.000000
20.629333,0.000000
20.650667,0.000000
20.672000,0.000000
20.693333,0.000000
20.714667,0.000000
20.736000,0.019841
20.757333,0.341108
20.778667,0.000000
20.800000,0.000000
20.821333,0.000000
20.842667,0.000000
20.864000,0.000000
20.885333,0.000000
20.906667,0.000000
20.928000,0.000000
20.949333,0.000000
20.970667,0.000000
20.992000,0.278037
21.013333,0.028566
21.034667,0.000000
21.056000,0.000000
21.077333,0.000000
21.098667,0.000000
21.120000,0.000000
21.141333,0.000000
21.162667,0.000000
21.184000,0.000000
21.205333,0.000000
21.226667,0.000019
21.248000,0.923116
21.269333,0.000567
21.290667,0.000000
21.312000,0.000000
21.333333,0.000000
21.354667,0.000000
21.376000,0.000000
21.397333,0.000000
21.418667,0.000000
21.440000,0.000000
21.461333,0.000000
21.482667,0.002457
21.504000,0.726149
21.525333,0.000000
21.546667,0.000000
21.568000,0.000000
21.589333,0.000000
21.610667,0.000000
21.632000,0.000000
21.653333,0.000000
21.674667,0.000000
21.696000,0.000000
21.717333,0.000000
21.738667,0.076621
21.760000,0.135335
21.781333,0.000000
21.802667,0.000000
21.824000,0.000000
21.845333,0.000000
21.866667,0.000000
21.888000,0.000000
21.909333,0.000000
21.930667,0.000000
21.952000,0.000000
21.973333,0.000001
21.994667,0.566154
22.016000,0.005976
22.037333,0.000000
22.058667,0.000000
22.080000,0.000000
22.101333,0.000000
22.122667,0.000000
22.144000,0.000000
22.165333,0.000000
22.186667,0.000000
22.208000,0.000000
22.229333,0.000195
22.250667,0.991151
22.272000,0.000000
22.293333,0.000000
22.314667,0.000000
22.336000,0.000000
22.357333,0.000000
22.378667,0.000000
22.400000,0.000000
22.421333,0.000000
22.442667,0.000000
22.464000,0.000000
22.485333,0.013538
22.506667,0.411112
22.528000,0.000000
22.549333,0.000000
22.570667,0.000000
22.592000,0.000000
22.613333,0.000000
22.634667,0.000000
22.656000,0.000000
22.677333,0.000000
22.698667,0.000000
22.720000,0.000000
22.741333,0.222635
22.762667,0.040401
22.784000,0.000000
22.805333,0.000000
22.826667,0.000000
22.848000,0.000000
22.869333,0.000000
22.890667,0.000000
22.912000,0.000000
22.933333,0.000000
22.954667,0.000000
22.976000,0.000010
22.997333,0.867428
23.018667,0.000941
23.040000,0.000000
23.061333,0.000000
23.082667,0.000000
23.104000,0.000000
23.125333,0.000000
23.146667,0.000000
23.168000,0.000000
23.189333,0.000000
23.210667,0.000000
23.232000,0.001534
23.253333,0.800737
23.274667,0.000000
23.296000,0.000000
23.317333,0.000000
23.338667,0.000000
23.360000,0.000000
23.381333,0.000000
23.402667,0.000000
23.424000,0.000000
23.445333,0.000000
23.466667,0.000000
23.488000,0.056135
23.509333,0.175131
23.530667,0.000000
23.552000,0.000000
23.573333,0.000000
23.594667,0.000000
23.616000,0.000000
23.637333,0.000000
23.658667,0.000000
23.680000,0.000000
23.701333,0.000000
23.722667,0.000000
23.744000,0.486752
23.765333,0.009075
23.786667,0.000000
23.808000,0.000000
23.829333,0.000000
23.850667,0.000000
23.872000,0.000000
23.893333,0.000000
23.914667,0.000000
23.936000,0.000000
23.957333,0.000000
23.978667,0.000111
24.000000,1.000000
24.021333,0.000111
24.042667,0.000000
24.064000,0.000000
24.085333,0.000000
24.106667,0.000000
24.128000,0.000000
24.149333,0.000000
24.170667,0.000000
24.192000,0.000000
24.213333,0.000000
24.234667,0.009075
24.256000,0.486752
24.277333,0.000000
24.298667,0.000000
24.320000,0.000000
24.341333,0.000000
24.362667,0.000000
24.384000,0.000000
24.405333,0.000000
24.426667,0.000000
24.448000,0.000000
24.469333,0.000000
24.490667,0.175131
24.512000,0.056135
24.533333,0.000000
24.554667,0.000000
24.576000,0.000000
24.597333,0.000000
24.618667,0.000000
24.640000,0.000000
24.661333,0.000000
24.682667,0.000000
24.704000,0.000000
24.725333,0.000005
24.746667,0.800737
24.768000,0.001534
24.789333,0.000000
24.810667,0.000000
24.832000,0.000000
24.853333,0.000000
24.874667,0.000000
24.896000,0.000000
24.917333,0.000000
24.938667,0.000000
24.960000,0.000000
24.981333,0.000941
25.002667,0.867428
25.024000,0.000000
25.045333,0.000000
25.066667,0.000000
25.088000,0.000000
25.109333,0.000000
25.130667,0.000000
25.152000,0.000000
25.173333,0.000000
25.194667,0.000000
25.216000,0.000000
25.237333,0.040401
25.258667,0.222635
25.280000,0.000000
25.301333,0.000000
25.322667,0.000000
25.344000,0.000000
25.365333,0.000000
25.386667,0.000000
25.408000,0.000000
25.429333,0.000000
25.450667,0.000000
25.472000,0.000000
25.493333,0.411112
25.514667,0.013538
25.536000,0.000000
25.557333,0.000000
25.578667,0.000000
25.600000,0.000000
25.621333,0.000000
25.642667,0.000000
25.664000,0.000000
25.685333,0.000000
25.706667,0.000000
25.728000,0.000063
25.749333,0.991151
25.770667,0.000195
25.792000,0.000000
25.813333,0.000000
25.834667,0.000000
25.856000,0.000000
25.877333,0.000000
25.898667,0.000000
25.920000,0.000000
25.941333,0.000000
25.962667,0.000000
25.984000,0.005976
26.005333,0.566154
26.026667,0.000000
26.048000,0.000000
26.069333,0.000000
26.090667,0.000000
26.112000,0.000000
26.133333,0.000000
26.154667,0.000000
26.176000,0.000000
26.197333,0.000000
26.218667,0.000000
26.240000,0.135335
26.261333,0.076621
26.282667,0.000000
26.304000,0.000000
26.325333,0.000000
26.346667,0.000000
26.368000,0.000000
26.389333,0.000000
26.410667,0.000000
26.432000,0.000000
26.453333,0.000000
26.474667,0.000003
26.496000,0.726149
26.517333,0.002457
26.538667,0.000000
26.560000,0.000000
26.581333,0.000000
26.602667,0.000000
26.624000,0.000000
26.645333,0.000000
26.666667,0.000000
26.688000,0.000000
26.709333,0.000000
26.730667,0.000567
26.752000,0.923116
26.773333,0.000000
26.794667,0.000000
26.816000,0.000000
26.837333,0.000000
26.858667,0.000000
26.880000,0.000000
26.901333,0.000000
26.922667,0.000000
26.944000,0.000000
26.965333,0.000000
26.986667,0.028566
27.008000,0.278037
27.029333,0.000000
27.050667,0.000000
27.072000,0.000000
27.093333,0.000000
27.114667,0.000000
27.136000,0.000000
27.157333,0.000000
27.178667,0.000000
27.200000,0.000000
27.221333,0.000000
27.242667,0.341108
27.264000,0.019841
27.285333,0.000000
27.306667,0.000000
27.328000,0.000000
27.349333,0.000000
27.370667,0.000000
27.392000,0.000000
27.413333,0.000000
27.434667,0.000000
27.456000,0.000000
27.477333,0.000034
27.498667,0.965069
27.520000,0.000335
27.541333,0.000000
27.562667,0.000000
27.584000,0.000000
27.605333,0.000000
27.626667,0.000000
27.648000,0.000000
27.669333,0.000000
27.690667,0.000000
27.712000,0.000000
27.733333,0.003866
27.754667,0.646905
27.776000,0.000000
27.797333,0.000000
27.818667,0.000000
27.840000,0.000000
27.861333,0.000000
27.882667,0.000000
27.904000,0.000000
27.925333,0.000000
27.946667,0.000000
27.968000,0.000000
27.989333,0.102740
28.010667,0.102740
28.032000,0.000000
28.053333,0.000000
28.074667,0.000000
28.096000,0.000000
28.117333,0.000000
28.138667,0.000000
28.160000,0.000000
28.181333,0.000000
28.202667,0.000000
28.224000,0.000001
28.245333,0.646905
28.266667,0.003866
28.288000,0.000000
28.309333,0.000000
28.330667,0.000000
28.352000,0.000000
28.373333,0.000000
28.394667,0.000000
28.416000,0.000000
28.437333,0.000000
28.458667,0.000000
28.480000,0.000335
28.501333,0.965069
28.522667,0.000000
28.544000,0.000000
28.565333,0.000000
28.586667,0.000000
28.608000,0.000000
28.629333,0.000000
28.650667,0.000000
28.672000,0.000000
28.693333,0.000000
28.714667,0.000000
28.736000,0.019841
28.757333,0.341108
28.778667,0.000000
28.800000,0.000000
28.821333,0.000000
28.842667,0.000000
28.864000,0.000000
28.885333,0.000000
28.906667,0.000000
28.928000,0.000000
28.949333,0.000000
28.970667,0.000000
28.992000,0.278037
29.013333,0.028566
29.034667,0.000000
29.056000,0.000000
29.077333,0.000000
29.098667,0.000000
29.120000,0.000000
29.141333,0.000000
29.162667,0.000000
29.184000,0.000000
29.205333,0.000000
29.226667,0.000019
29.248000,0.923116
29.269333,0.000567
29.290667,0.000000
29.312000,0.000000
29.333333,0.000000
29.354667,0.000000
29.376000,0.000000
29.397333,0.000000
29.418667,0.000000
29.440000,0.000000
29.461333,0.000000
29.482667,0.002457
29.504000,0.726149
29.525333,0.000000
29.546667,0.000000
29.568000,0.000000
29.589333,0.000000
29.610667,0.000000
29.632000,0.000000
29.653333,0.000000
29.674667,0.000000
29.696000,0.000000
29.717333,0.000000
29.738667,0.076621
29.760000,0.135335
29.781333,0.000000
29.802667,0.000000
29.824000,0.000000
29.845333,0.000000
29.866667,0.000000
29.888000,0.000000
29.909333,0.000000
29.930667,0.000000
29.952000,0.000000
29.973333,0.000001
29.994667,0.566154
30.016000,0.005976
30.037333,0.000000
30.058667,0.000000
30.080000,0.000000
30.101333,0.000000
30.122667,0.000000
30.144000,0.000000
30.165333,0.000000
30.186667,0.000000
30.208000,0.000000
30.229333,0.000195
30.250667,0.991151
30.272000,0.000000
30.293333,0.000000
30.314667,0.000000
30.336000,0.000000
30.357333,0.000000
30.378667,0.000000
30.400000,0.000000
30.421333,0.000000
30.442667,0.000000
30.464000,0.000000
30.485333,0.013538
30.506667,0.411112
30.528000,0.000000
30.549333,0.000000
30.570667,0.000000
30.592000,0.000000
30.613333,0.000000
30.634667,0.000000
30.656000,0.000000
30.677333,0.000000
30.698667,0.000000
30.720000,0.000000
30.741333,0.222635
30.762667,0.040401
30.784000,0.000000
30.805333,0.000000
30.826667,0.000000
30.848000,0.000000
30.869333,0.000000
30.890667,0.000000
30.912000,0.000000
30.933333,0.000000
30.954667,0.000000
30.976000,0.000010
30.997333,0.867428
31.018667,0.000941
31.040000,0.000000
31.061333,0.000000
31.082667,0.000000
31.104000,0.000000
31.125333,0.000000
31.146667,0.000000
31.168000,0.000000
31.189333,0.000000
31.210667,0.000000
31.232000,0.001534
31.253333,0.800737
31.274667,0.000000
31.296000,0.000000
31.317333,0.000000
31.338667,0.000000
31.360000,0.000000
31.381333,0.000000
31.402667,0.000000
31.424000,0.000000
31.445333,0.000000
31.466667,0.000000
31.488000,0.056135
31.509333,0.175131
